model,landscape,climate,year,species,disturbances,diversity,scenario,AGB_t_ha_med
ILAND,dischma,historic,20,bepe,historic,high,beta,5.000722573187005
ILAND,dischma,historic,20,bepe,historic,high_future,alpha,3.5410631981671608
ILAND,dischma,historic,20,bepe,historic,high_future,beta,4.962680020131546
ILAND,dischma,historic,20,bepe,no,high,alpha,3.6630063809826403
ILAND,dischma,historic,20,bepe,no,high,beta,5.008621625445642
ILAND,dischma,historic,20,bepe,no,high_future,alpha,3.5240835054712782
ILAND,dischma,historic,20,bepe,no,high_future,beta,4.989727842456148
ILAND,dischma,historic,20,cabe,future,high_future,alpha,0.056278554659050246
ILAND,dischma,historic,20,cabe,future,high_future,beta,0.01711727575661528
ILAND,dischma,historic,20,cabe,historic,high_future,alpha,0.056134202858414965
ILAND,dischma,historic,20,cabe,historic,high_future,beta,0.017159046405161513
ILAND,dischma,historic,20,cabe,no,high_future,alpha,0.05620623448745368
ILAND,dischma,historic,20,cabe,no,high_future,beta,0.017156431302331382
ILAND,dischma,historic,20,lade,future,high,alpha,35.54894182381058
ILAND,dischma,historic,20,lade,future,high,beta,43.11332363714354
ILAND,dischma,historic,20,lade,future,high_future,alpha,35.42601496588867
ILAND,dischma,historic,20,lade,future,high_future,beta,43.07557537875421
ILAND,dischma,historic,20,lade,future,low,alpha,13.458312794629789
ILAND,dischma,historic,20,lade,future,low,beta,28.74496681825787
ILAND,dischma,historic,20,lade,historic,high,alpha,35.950100784851735
ILAND,dischma,historic,20,lade,historic,high,beta,43.554194008364576
ILAND,dischma,historic,20,lade,historic,high_future,alpha,35.768483911981306
ILAND,dischma,historic,20,lade,historic,high_future,beta,43.455085280979674
ILAND,dischma,historic,20,lade,historic,low,alpha,13.55357741834948
ILAND,dischma,historic,20,lade,historic,low,beta,28.991513012412533
ILAND,dischma,historic,20,lade,no,high,alpha,36.315769143273656
ILAND,dischma,historic,20,lade,no,high,beta,44.360623859194426
ILAND,dischma,historic,20,lade,no,high_future,alpha,36.198406344968184
ILAND,dischma,historic,20,lade,no,high_future,beta,44.288081845966026
ILAND,dischma,historic,20,lade,no,low,alpha,13.641383003135978
ILAND,dischma,historic,20,lade,no,low,beta,29.435536844078236
ILAND,dischma,historic,20,piab,future,high,alpha,88.3314279285911
ILAND,dischma,historic,20,piab,future,high,beta,50.496998019294836
ILAND,dischma,historic,20,piab,future,high_future,alpha,88.23058615316577
ILAND,dischma,historic,20,piab,future,high_future,beta,50.56007764433279
ILAND,dischma,historic,20,piab,future,low,alpha,145.86004012518976
ILAND,dischma,historic,20,piab,future,low,beta,137.97938991366
ILAND,dischma,historic,20,piab,future,no,prod,186.79556218476802
ILAND,dischma,historic,20,piab,historic,high,alpha,90.57319835202608
ILAND,dischma,historic,20,piab,historic,high,beta,51.09150675598383
ILAND,dischma,historic,20,piab,historic,high_future,alpha,90.63506895531137
ILAND,dischma,historic,20,piab,historic,high_future,beta,51.14541146649495
ILAND,dischma,historic,20,piab,historic,low,alpha,149.31544885386208
ILAND,dischma,historic,20,piab,historic,low,beta,140.76255549215136
ILAND,dischma,historic,20,piab,historic,no,prod,190.1486987531237
ILAND,dischma,historic,20,piab,no,high,alpha,93.44300406248293
