model,climate,year,species,AGB,AGB_ha,landscape
ILAND,historic,210,soar,31765.529,0.034415524377031416,dischma
ILAND,historic,210,soau,4290.308,0.004648221018418201,dischma
ILAND,historic,210,tico,33.427,3.621560130010834e-5,dischma
ILAND,historic,210,tipl,25.287,2.7396533044420367e-5,dischma
ILAND,historic,210,ulgl,27.004,2.925677139761647e-5,dischma
ILAND,historic,220,abal,2667.277,0.0028897908992416036,dischma
ILAND,historic,220,acps,465.212,5.040216684723727e-4,dischma
ILAND,historic,220,alvi,29208.948,0.031645664138678226,dischma
ILAND,historic,220,bepe,160642.013,0.17404335102925245,dischma
ILAND,historic,220,coav,188.158,2.038548212351029e-4,dischma
ILAND,historic,220,fasy,2600.123,0.002817034669555796,dischma
ILAND,historic,220,lade,69668412.668,75.48040375731311,dischma
ILAND,historic,220,piab,114911717.392,124.49806868039003,dischma
ILAND,historic,220,pice,11773981.576,12.7562097248104,dischma
ILAND,historic,220,pisy,16917.231,0.018328527627302273,dischma
ILAND,historic,220,potr,79788.22,0.0864444420368364,dischma
ILAND,historic,220,saca,98.858,1.0710509209100759e-4,dischma
ILAND,historic,220,soar,23961.089,0.025960009750812568,dischma
ILAND,historic,220,soau,4556.795,0.004936939328277356,dischma
ILAND,historic,220,tico,34.595,3.7481040086673885e-5,dischma
ILAND,historic,220,tipl,68.517,7.42329360780065e-5,dischma
ILAND,historic,220,ulgl,5.514,5.973997833152763e-6,dischma
ILAND,historic,230,abal,3209.8289999999997,0.003477604550379198,dischma
ILAND,historic,230,acps,366.579,3.97160346695558e-4,dischma
ILAND,historic,230,alvi,32733.393,0.035464131094257854,dischma
ILAND,historic,230,bepe,262703.331,0.2846189934994583,dischma
ILAND,historic,230,coav,182.342,1.9755362946912244e-4,dischma
ILAND,historic,230,fasy,3131.79,0.0033930552546045504,dischma
ILAND,historic,230,lade,68860317.657,74.6048945362947,dischma
ILAND,historic,230,piab,116364128.996,126.07164571614302,dischma
ILAND,historic,230,pice,12800759.73,13.86864542795233,dischma
ILAND,historic,230,pisy,17872.921,0.019363944745395448,dischma
ILAND,historic,230,potr,119574.243,0.12954955904658721,dischma
ILAND,historic,230,saca,79.152,8.575514626218851e-5,dischma
ILAND,historic,230,soar,28343.052,0.03070753196099675,dischma
ILAND,historic,230,soau,4174.593,0.004522852654387866,dischma
ILAND,historic,230,tico,11.5,1.2459371614301192e-5,dischma
ILAND,historic,230,tipl,72.869,7.894799566630552e-5,dischma
ILAND,historic,230,ulgl,9.103,9.862405200433368e-6,dischma
ILAND,historic,240,abal,4067.561,0.004406891657638136,dischma
ILAND,historic,240,acps,230.697,2.4994257854821234e-4,dischma
ILAND,historic,240,alvi,6077.957,0.006585002166847238,dischma
ILAND,historic,240,bepe,43268.43,0.04687803900325027,dischma
ILAND,historic,240,coav,130.438,1.4131960996749727e-4,dischma
ILAND,historic,240,fasy,3797.475,0.004114274106175515,dischma
ILAND,historic,240,lade,66365335.511,71.90177195124593,dischma
ILAND,historic,240,piab,117307696.589,127.09392913217768,dischma
ILAND,historic,240,pice,13500872.649,14.627164300108342,dischma
ILAND,historic,240,pisy,14531.82,0.015744117009750813,dischma
ILAND,historic,240,potr,14814.664,0.01605055687973998,dischma
ILAND,historic,240,saca,85.253,9.236511375947996e-5,dischma
ILAND,historic,240,soar,14382.887,0.015582759479956665,dischma
ILAND,historic,240,soau,2350.777,0.002546887323943662,dischma
ILAND,historic,240,tico,16.073,1.7413867822318527e-5,dischma
ILAND,historic,240,tipl,10.908,1.1817984832069338e-5,dischma
ILAND,historic,240,ulgl,1.503,1.628385698808234e-6,dischma
ILAND,historic,250,abal,4539.366,0.004918056338028169,dischma
ILAND,historic,250,acps,171.441,1.8574322860238354e-4,dischma
ILAND,historic,250,alvi,12082.173,0.01309011159263272,dischma
ILAND,historic,250,bepe,107816.977,0.1168114593716143,dischma
ILAND,historic,250,coav,135.375,1.4666847237269773e-4,dischma
ILAND,historic,250,fasy,4440.627,0.004811080173347779,dischma
ILAND,historic,250,lade,65715389.644,71.19760524810401,dischma
ILAND,historic,250,piab,118919433.029,128.8401224582882,dischma
ILAND,historic,250,pice,14468142.663,15.67512747887324,dischma
ILAND,historic,250,pisy,16875.072,0.018282851570964247,dischma
ILAND,historic,250,potr,88607.351,0.0959992968580715,dischma
ILAND,historic,250,saca,54.56,5.91115926327194e-5,dischma
ILAND,historic,250,soar,28304.213,0.03066545287107259,dischma
ILAND,historic,250,soau,3983.448,0.0043157616468039,dischma
ILAND,historic,250,tico,10.530000000000001,1.1408450704225353e-5,dischma
ILAND,historic,250,tipl,8.224,8.910075839653304e-6,dischma
ILAND,historic,250,ulgl,1.515,1.6413867822318526e-6,dischma
ILAND,historic,260,abal,5179.8279999999995,0.005611947995666305,dischma
ILAND,historic,260,acps,125.105,1.3554171180931744e-4,dischma
ILAND,historic,260,alvi,7456.463,0.008078508125677139,dischma
ILAND,historic,260,bepe,118310.603,0.12818050162513542,dischma
ILAND,historic,260,coav,201.37800000000001,2.1817768147345612e-4,dischma
ILAND,historic,260,fasy,5171.29,0.005602697724810401,dischma
ILAND,historic,260,lade,64170163.837,69.52347111267605,dischma
ILAND,historic,260,piab,118723949.758,128.6283312654388,dischma
ILAND,historic,260,pice,15054521.733,16.310424412784396,dischma
ILAND,historic,260,pisy,17124.201,0.01855276381365114,dischma
ILAND,historic,260,potr,65463.909,0.0709251451787649,dischma
ILAND,historic,260,saca,97.955,1.0612676056338028e-4,dischma
ILAND,historic,260,soar,22090.481,0.0239333488624052,dischma
ILAND,historic,260,soau,3364.678,0.0036453716143011916,dischma
ILAND,historic,260,tipl,4.811,5.212351029252437e-6,dischma
ILAND,historic,260,ulgl,1.548,1.677139761646804e-6,dischma
ILAND,historic,270,abal,6341.438,0.006870463705308776,dischma
ILAND,historic,270,acps,96.612,1.0467172264355363e-4,dischma
ILAND,historic,270,alvi,10411.786,0.011280374864572047,dischma
ILAND,historic,270,bepe,60335.124,0.06536849837486458,dischma
ILAND,historic,270,coav,106.273,1.1513867822318526e-4,dischma
ILAND,historic,270,fasy,6031.9130000000005,0.006535117009750813,dischma
ILAND,historic,270,lade,61981136.719,67.15182743120259,dischma
ILAND,historic,270,piab,120145644.94,130.168629404117,dischma
ILAND,historic,270,pice,15969647.596,17.301893386782233,dischma
ILAND,historic,270,pisy,20312.938,0.022007516793066086,dischma
ILAND,historic,270,potr,64900.461,0.07031469230769231,dischma
ILAND,historic,270,saca,89.129,9.656446370530878e-5,dischma
ILAND,historic,270,soar,24039.541,0.02604500650054171,dischma
ILAND,historic,270,soau,3602.656,0.0039032026002166847,dischma
ILAND,historic,270,tipl,2.285,2.475622968580715e-6,dischma
ILAND,historic,270,ulgl,1.533,1.6608884073672805e-6,dischma
ILAND,historic,280,abal,6549.769,0.007096174431202601,dischma
ILAND,historic,280,acps,49.158,5.325893824485374e-5,dischma
ILAND,historic,280,alvi,5774.882,0.006256643553629469,dischma
ILAND,historic,280,bepe,35465.034,0.03842365547128927,dischma
ILAND,historic,280,coav,112.788,1.2219718309859154e-4,dischma
ILAND,historic,280,fasy,6899.6810000000005,0.007475277356446371,dischma
ILAND,historic,280,lade,59955140.606,64.95681539111592,dischma
ILAND,historic,280,piab,120658534.373,130.72430592957747,dischma
ILAND,historic,280,pice,16559542.198,17.94099913109426,dischma
ILAND,historic,280,pisy,17950.731,0.01944824593716143,dischma
ILAND,historic,280,potr,27300.916,0.029578457204767063,dischma
ILAND,historic,280,saca,82.175,8.903033586132178e-5,dischma
ILAND,historic,280,soar,17896.367,0.01938934669555796,dischma
ILAND,historic,280,soau,2931.933,0.0031765254604550377,dischma
ILAND,historic,280,tipl,14.137,1.5316359696641386e-5,dischma
ILAND,historic,290,abal,6459.616,0.0069985005417118095,dischma
ILAND,historic,290,acps,24.906,2.6983748645720475e-5,dischma
ILAND,historic,290,alvi,11083.551,0.012008180931744312,dischma
ILAND,historic,290,bepe,77329.454,0.08378055687973998,dischma
ILAND,historic,290,coav,143.551,1.5552654387865654e-4,dischma
ILAND,historic,290,fasy,7846.26,0.008500823401950163,dischma
ILAND,historic,290,lade,58528712.859,63.41138987973998,dischma
ILAND,historic,290,piab,121219716.657,131.33230407042254,dischma
ILAND,historic,290,pice,17030582.785,18.4513356283857,dischma
ILAND,historic,290,pisy,19317.394,0.02092892091007584,dischma
ILAND,historic,290,potr,104471.263,0.1131866338028169,dischma
ILAND,historic,290,saca,62.299,6.749620801733478e-5,dischma
ILAND,historic,290,soar,28527.547,0.030907418201516792,dischma
ILAND,historic,290,soau,4059.843,0.004398529794149513,dischma
ILAND,historic,300,abal,7234.247,0.00783775406283857,dischma
ILAND,historic,300,acps,18.657,2.0213434452871073e-5,dischma
ILAND,historic,300,alvi,5508.451,0.005967985915492958,dischma
ILAND,historic,300,bepe,44428.208,0.0481345698808234,dischma
ILAND,historic,300,coav,126.422,1.369685807150596e-4,dischma
ILAND,historic,300,fasy,8353.791000000001,0.009050694474539546,dischma
ILAND,historic,300,lade,57425102.674,62.21571253954497,dischma
ILAND,historic,300,piab,121872345.121,132.03937716251355,dischma
ILAND,historic,300,pice,17570714.264,19.036526829902492,dischma
ILAND,historic,300,pisy,19221.506,0.02082503358613218,dischma
ILAND,historic,300,potr,32362.12,0.03506188515709642,dischma
ILAND,historic,300,saca,95.773,1.0376273022751896e-4,dischma
ILAND,historic,300,soar,19417.176,0.021037027085590465,dischma
ILAND,historic,300,soau,3441.393,0.003728486457204767,dischma
ILAND,historic,310,abal,8515.414,0.009225800650054171,dischma
ILAND,historic,310,acps,14.188,1.5371614301191765e-5,dischma
ILAND,historic,310,alvi,8367.63,0.009065687973997833,dischma
ILAND,historic,310,bepe,63841.959,0.06916788624052005,dischma
ILAND,historic,310,coav,133.15800000000002,1.442665222101842e-4,dischma
ILAND,historic,310,fasy,8923.957,0.009668425785482123,dischma
ILAND,historic,310,lade,55747238.692,60.397875072589386,dischma
ILAND,historic,310,piab,122620567.313,132.8500187573131,dischma
ILAND,historic,310,pice,18475762.312,20.01707726110509,dischma
ILAND,historic,310,pisy,19921.508,0.021583432286023836,dischma
ILAND,historic,310,potr,72700.744,0.0787657031419285,dischma
ILAND,historic,310,saca,56.285000000000004,6.098049837486457e-5,dischma
ILAND,historic,310,soar,23759.539,0.025741645720476707,dischma
ILAND,historic,310,soau,3930.396,0.004258283856988083,dischma
ILAND,historic,310,tipl,4.344,4.706392199349946e-6,dischma
ILAND,historic,320,abal,9131.925,0.009893743228602384,dischma
ILAND,historic,320,acps,129.025,1.397887323943662e-4,dischma
ILAND,historic,320,alvi,4519.694,0.004896743228602384,dischma
ILAND,historic,320,bepe,61560.409999999996,0.06669600216684723,dischma
ILAND,historic,320,coav,86.797,9.403791982665222e-5,dischma
ILAND,historic,320,fasy,9483.914999999999,0.010275097508125676,dischma
ILAND,historic,320,lade,54415360.138,58.9548863900325,dischma
ILAND,historic,320,piab,123113234.671,133.38378620910078,dischma
