landscape,climate,scenario,diversity,disturbances,replication,dist_impact,age_structure,experiment,run_id
dischma,historic,prod,no,future,5,height_only,normal,3,2875
dischma,historic,prod,no,future,6,height_only,normal,3,2876
dischma,historic,prod,no,future,7,height_only,normal,3,2877
dischma,historic,prod,no,future,8,height_only,normal,3,2878
dischma,historic,prod,no,future,9,height_only,normal,3,2879
dischma,historic,prod,no,future,10,height_only,normal,3,2880
dischma,historic,prod,no,future_100,1,species_height,normal,1,2881
dischma,historic,prod,no,future_100,2,species_height,normal,1,2882
dischma,historic,prod,no,future_100,3,species_height,normal,1,2883
dischma,historic,prod,no,future_100,4,species_height,normal,1,2884
dischma,historic,prod,no,future_100,5,species_height,normal,1,2885
dischma,historic,prod,no,future_100,6,species_height,normal,1,2886
dischma,historic,prod,no,future_100,7,species_height,normal,1,2887
dischma,historic,prod,no,future_100,8,species_height,normal,1,2888
dischma,historic,prod,no,future_100,9,species_height,normal,1,2889
dischma,historic,prod,no,future_100,10,species_height,normal,1,2890
dischma,historic,prod,no,historic_600,1,species_height,normal,1,2891
dischma,historic,prod,no,historic_600,2,species_height,normal,1,2892
dischma,historic,prod,no,historic_600,3,species_height,normal,1,2893
dischma,historic,prod,no,historic_600,4,species_height,normal,1,2894
dischma,historic,prod,no,historic_600,5,species_height,normal,1,2895
dischma,historic,prod,no,historic_600,6,species_height,normal,1,2896
dischma,historic,prod,no,historic_600,7,species_height,normal,1,2897
dischma,historic,prod,no,historic_600,8,species_height,normal,1,2898
dischma,historic,prod,no,historic_600,9,species_height,normal,1,2899
dischma,historic,prod,no,historic_600,10,species_height,normal,1,2900
dischma,historic,prod,no,no,1,species_height,young,2,2901
dischma,historic,prod,no,no,2,species_height,young,2,2902
dischma,historic,prod,no,no,3,species_height,young,2,2903
dischma,historic,prod,no,no,4,species_height,young,2,2904
dischma,historic,prod,no,no,5,species_height,young,2,2905
dischma,historic,prod,no,no,6,species_height,young,2,2906
dischma,historic,prod,no,no,7,species_height,young,2,2907
